Tax_code	A	B	C	D	E	F	G	H	I	J	K	L	M	N
Sph_pell	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Sph_punc	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Ste_leva	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Syn_hung	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Syn_plum	0	3	4	2	0	0	4	0	3	0	0	0	0	0
Tet_malv	0	0	3	0	1	1	0	0	0	0	0	0	0	0
Ves_poll	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Ves_tube	0	0	0	0	0	1	0	1	0	0	1	0	0	0
Ves_vest	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Xyl_iris	0	3	1	0	0	0	0	0	0	0	0	0	0	0
Xyl_valg	0	1	1	0	0	0	0	0	1	0	31	1	2	0
Xyl_vare	0	0	1	0	0	0	0	0	0	0	3	0	0	0
Xyl_viol	1	5	9	0	0	0	0	1	0	0	5	0	0	0
